word,count
br,104606
like,44561
product,35007
taste,32120
just,28111
food,22825
coffee,22675
good,21665
flavor,20543
amazon,16708
don,16660
tea,16332
buy,15040
really,14489
tried,12048
dog,11962
box,11899
time,11700
bought,11247
did,11136
eat,10751
bad,10593
better,10355
try,10246
ve,10140
bag,9882
water,9780
got,9598
little,9167
make,9065
thought,9015
didn,8960
know,8931
love,8929
great,8905
way,8758
chocolate,8694
use,8643
sugar,8590
cup,8577
price,8355
used,8304
order,8149
think,8013
ordered,7990
tastes,7962
money,7743
ingredients,7634
disappointed,7281
products,7259
brand,7085
does,6819
old,6604
stuff,6571
tasted,6509
away,6490
drink,6464
cat,6238
sweet,6194
store,6139
received,6103
want,6100
different,6089
dogs,6046
reviews,5968
eating,5961
doesn,5873
free,5822
say,5809
package,5786
sure,5714
quality,5678
company,5609
pack,5604
day,5573
new,5520
bags,5508
purchased,5481
ll,5425
going,5339
buying,5283
smell,5242
thing,5234
people,5196
maybe,5166
hard,5111
item,5007
small,4985
recommend,4862
real,4854
best,4796
flavors,4776
chips,4752
chicken,4735
looking,4672
organic,4664
said,4651
won,4638
cups,4634
diet,4598
treats,4591
years,4579
actually,4486
purchase,4485
cats,4449
lot,4346
hot,4327
green,4324
natural,4246
high,4242
oil,4231
mix,4187
opened,4168
review,4140
salt,4136
using,4102
work,4052
trying,4027
cookies,3958
dry,3920
read,3909
instead,3869
bottle,3863
bit,3848
milk,3839
half,3832
waste,3826
texture,3813
look,3803
problem,3793
right,3791
corn,3790
gave,3744
shipping,3732
wanted,3704
case,3695
boxes,3694
kind,3693
strong,3677
packaging,3669
pretty,3652
things,3633
big,3628
took,3612
regular,3590
worth,3560
long,3530
12,3525
bitter,3499
days,3440
came,3432
cans,3421
10,3400
wasn,3371
local,3357
feel,3294
far,3290
awful,3287
horrible,3238
tasting,3236
size,3203
coconut,3199
went,3191
foods,3179
fine,3162
bars,3160
times,3157
healthy,3156
return,3154
expensive,3140
unfortunately,3127
couldn,3120
probably,3097
getting,3092
wouldn,3067
need,3065
makes,3055
arrived,3053
plastic,3053
isn,3031
com,3024
formula,3013
terrible,3010
candy,2994
treat,2986
jerky,2961
worst,2935
date,2932
flavored,2932
year,2923
stale,2906
sauce,2902
ingredient,2888
months,2885
guess,2877
come,2867
artificial,2843
oz,2834
fresh,2831
mouth,2808
rice,2789
quite,2781
low,2772
wrong,2758
pieces,2753
meat,2727
having,2724
add,2705
decided,2703
fact,2688
vanilla,2676
syrup,2673
butter,2672
gluten,2650
says,2648
second,2647
nice,2642
usually,2630
left,2622
china,2606
definitely,2605
added,2591
weak,2590
stars,2587
let,2578
cost,2563
dark,2556
save,2553
fruit,2545
baby,2536
