word,coef
worst,-12.250822406920443
disappointing,-10.935254167209656
terrible,-9.827372107439857
disappointed,-9.537407301326125
awful,-8.945103734142414
disappointment,-8.79886888660378
horrible,-8.331530807199856
unfortunately,-8.240180278386676
weak,-7.868477424099297
bland,-7.115346093048143
tasteless,-6.901180550336045
stale,-6.898993284136306
disgusting,-6.871086342338763
won buying,-6.832443701993113
return,-6.7874477092052565
threw,-6.658844720852021
great reviews,-6.503563067050141
way sweet,-6.466974828779569
rip,-6.405877533030731
wanted like,-6.275261958217825
worse,-6.2552886509860235
yuck,-6.2162336661166835
gross,-6.103719745229008
undrinkable,-6.034169084532771
hoping,-5.975975824546151
unpleasant,-5.890991875177094
waste money,-5.7601938021705665
sorry,-5.7485128209486955
flavorless,-5.680987640357094
sadly,-5.570239249465492
nasty,-5.509094932542097
money,-5.451168622947549
ll stick,-5.445403077875026
did like,-5.424008431369466
returning,-5.362097823341918
don recommend,-5.33011553890744
ruined,-5.291240579785325
maybe,-5.284805041187605
thinking,-5.254799508582333
inedible,-5.216421660966348
useless,-5.201624701610708
thought,-5.127680012425032
barely,-5.123832243369828
rancid,-5.093746760767695
just doesn,-5.08910481585576
poor,-5.03139494884171
skip,-4.999025913259024
sounded,-4.982194233078104
deceptive,-4.977870423419017
concept,-4.955152390780391
